imgName,x,y,z,q1,q2,q3,q4
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_31_rgb,231.379,1928.529,210.977,0.54195,-0.48152,0.4542,0.51782
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_34_rgb,229.942,2010.96,224.657,0.52286,-0.50271,0.47604,0.49727
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_37_rgb,229.942,2094.53,224.657,0.50271,-0.52286,0.49727,0.47604
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_41_rgb,231.379,2176.96,210.977,-0.48152,0.54195,-0.51782,-0.4542
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_44_rgb,234.216,2256.003,183.99,-0.45928,0.55995,-0.53765,-0.4318
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_50_rgb,139.46,1849.487,163.849,0.5813,-0.48502,0.40261,0.51455
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_53_rgb,131.074,1928.529,189.656,0.56491,-0.50722,0.42529,0.49268
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_56_rgb,126.824,2010.96,202.738,0.54712,-0.5279,0.44795,0.47045
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_59_rgb,126.824,2094.53,202.738,0.5279,-0.54712,0.47045,0.44795
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_03_rgb,131.074,2176.96,189.656,0.50722,-0.56491,0.49268,0.42529
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_06_rgb,139.46,2256.003,163.849,-0.48502,0.5813,-0.51455,-0.40261
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_11_rgb,30.517,2010.96,159.859,0.56997,-0.55155,0.41849,0.44249
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_14_rgb,30.517,2094.53,159.859,0.55155,-0.56997,0.44249,0.41849
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_17_rgb,30.517,2094.53,220.859,0.57554,-0.6005,0.41079,0.37336
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_20_rgb,30.517,2010.96,220.859,0.6005,-0.57554,0.37336,0.41079
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_25_rgb,139.46,2256.003,224.849,-0.47878,0.61608,-0.52035,-0.34705
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_28_rgb,131.074,2176.96,250.656,0.51144,-0.59367,0.4883,0.38412
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_31_rgb,126.824,2094.53,263.738,0.5414,-0.56879,0.45485,0.42009
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_34_rgb,126.824,2010.96,263.738,0.56879,-0.5414,0.42009,0.45485
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_37_rgb,131.074,1928.529,250.656,0.59367,-0.51144,0.38412,0.4883
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_41_rgb,139.46,1849.487,224.849,0.61608,-0.47878,0.34705,0.52035
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_47_rgb,234.216,2256.003,244.99,-0.43803,0.58706,-0.55509,-0.39416
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_50_rgb,231.379,2176.96,271.977,-0.47215,0.56154,-0.52638,-0.42973
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_53_rgb,229.942,2094.53,285.657,0.50409,-0.53388,0.49588,0.46365
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_12_56_rgb,229.942,2010.96,285.657,0.53388,-0.50409,0.46365,0.49588
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_00_rgb,231.379,1928.529,271.977,0.56154,-0.47215,0.42973,0.52638
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_03_rgb,234.216,1849.487,244.99,0.58706,-0.43803,0.39416,0.55509
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_06_rgb,331.089,1849.487,244.99,0.55509,-0.39416,0.43803,0.58706
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_09_rgb,333.925,1928.529,271.977,0.52638,-0.42973,0.47215,0.56154
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_12_rgb,335.363,2010.96,285.657,0.49588,-0.46365,0.50409,0.53388
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_16_rgb,335.363,2094.53,285.657,0.46365,-0.49588,0.53388,0.50409
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_19_rgb,333.925,2176.96,271.977,0.42973,-0.52638,0.56154,0.47215
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_22_rgb,331.089,2256.003,244.99,0.39416,-0.55509,0.58706,0.43803
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_25_rgb,425.845,2256.003,224.849,0.34705,-0.52035,0.61608,0.47878
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_29_rgb,434.23,2176.96,250.656,0.38412,-0.4883,0.59367,0.51144
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_32_rgb,438.481,2094.53,263.738,0.42009,-0.45485,0.56879,0.5414
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_35_rgb,438.481,2010.96,263.738,0.45485,-0.42009,0.5414,0.56879
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_38_rgb,434.23,1928.529,250.656,0.4883,-0.38412,0.51144,0.59367
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_41_rgb,425.845,1849.487,224.849,0.52035,-0.34705,0.47878,0.61608
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_45_rgb,534.788,2010.96,220.859,0.41079,-0.37336,0.57554,0.6005
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_13_49_rgb,534.788,2094.53,220.859,0.37336,-0.41079,0.6005,0.57554
