imgName,x,y,z,q1,q2,q3,q4
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_10_38_rgb,534.788,2094.53,159.859,0.41849,-0.44249,0.56997,0.55155
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_10_41_rgb,534.788,2010.96,159.859,0.44249,-0.41849,0.55155,0.56997
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_10_45_rgb,425.845,1849.487,163.849,0.51455,-0.40261,0.48502,0.5813
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_10_52_rgb,434.23,1928.529,189.656,0.49268,-0.42529,0.50722,0.56491
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_10_57_rgb,438.481,2010.96,202.738,0.47045,-0.44795,0.5279,0.54712
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_10_59_rgb,438.481,2094.53,202.738,0.44795,-0.47045,0.54712,0.5279
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_02_rgb,434.23,2176.96,189.656,0.42529,-0.49268,0.56491,0.50722
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_05_rgb,425.845,2256.003,163.849,0.40261,-0.51455,0.5813,0.48502
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_09_rgb,331.089,2256.003,183.99,0.4318,-0.53765,0.55995,0.45928
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_12_rgb,333.925,2176.96,210.977,0.4542,-0.51782,0.54195,0.48152
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_15_rgb,335.363,2094.53,224.657,0.47604,-0.49727,0.52286,0.50271
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_18_rgb,335.363,2010.96,224.657,0.49727,-0.47604,0.50271,0.52286
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_21_rgb,333.925,1928.529,210.977,0.51782,-0.4542,0.48152,0.54195
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_25_rgb,331.089,1849.487,183.99,0.53765,-0.4318,0.45928,0.55995
pc_filtered_2022_11_22_19_01_09_2022_11_22_19_11_28_rgb,234.216,1849.487,183.99,0.55995,-0.45928,0.4318,0.53765
